Date,Account_ID,Department_ID,Scenario,Amount
05/01/2023,COGS-002,DPT-400,Actual,12131.88
03/28/2023,REV-001,DPT-400,Actual,88771.91
09/08/2023,COGS-001,DPT-100,Actual,12893.36
01/27/2023,OPEX-002,DPT-200,Actual,3461.62
11/11/2023,COGS-002,DPT-200,Actual,10823.67
03/24/2023,COGS-001,DPT-100,Budget,13089.25
12/29/2023,REV-002,DPT-200,Actual,86275.56
06/20/2023,OPEX-004,DPT-300,Budget,13196.99
03/21/2023,OPEX-005,DPT-200,Actual,18200.74
04/02/2023,OPEX-001,DPT-200,Budget,13685.22
05/06/2023,OPEX-001,DPT-300,Actual,17027.75
04/18/2023,COGS-002,DPT-300,Actual,21560.62
06/06/2023,REV-001,DPT-400,Budget,140046.28
07/23/2023,OPEX-002,DPT-200,Actual,15206.47
10/10/2023,COGS-002,DPT-500,Actual,22218.59
04/16/2023,COGS-001,DPT-400,Actual,8627.13
11/21/2023,REV-001,DPT-100,Actual,116710.87
09/17/2023,OPEX-003,DPT-400,Actual,17798.74
11/02/2023,OPEX-003,DPT-200,Actual,18887.13
12/14/2023,OPEX-004,DPT-500,Budget,2183.37
11/19/2023,REV-002,DPT-200,Budget,112434.94
08/06/2023,COGS-001,DPT-300,Budget,8763.7
01/04/2023,OPEX-002,DPT-300,Actual,18060.94
08/02/2023,REV-002,DPT-300,Budget,120606.02
01/26/2023,OPEX-001,DPT-100,Budget,2558.73
12/02/2023,OPEX-002,DPT-500,Budget,2378.9
01/03/2023,COGS-001,DPT-400,Actual,23563.73
06/15/2023,OPEX-004,DPT-200,Actual,16491.98
03/24/2023,OPEX-003,DPT-500,Actual,9454.89
01/29/2023,REV-001,DPT-400,Budget,27916.75
07/11/2023,COGS-002,DPT-100,Actual,28545.61
03/28/2023,COGS-001,DPT-500,Actual,5543.35
12/04/2023,OPEX-005,DPT-200,Budget,8061.21
05/11/2023,OPEX-001,DPT-500,Budget,4780.64
12/24/2023,OPEX-003,DPT-400,Budget,9647.25
12/17/2023,REV-001,DPT-500,Budget,121365.49
12/14/2023,OPEX-002,DPT-500,Budget,7401.22
02/10/2023,OPEX-003,DPT-200,Budget,19259.51
05/27/2023,COGS-001,DPT-100,Budget,14182.67
01/26/2023,OPEX-002,DPT-200,Budget,11438.17
01/04/2023,COGS-001,DPT-300,Actual,11618.72
05/16/2023,REV-001,DPT-400,Actual,25367.94
10/23/2023,OPEX-004,DPT-400,Budget,6264.63
